date,capital,period_return,long_return,benchmark_return,borrow_cost,turnover,n_names,avg_buyers,total_value
2019-03-11,1052015.1017719582,0.005387003633448768,0.04736506953181969,0.04173997066027568,0.0002380952380952381,0.26666666666666666,44,2.7954545454545454,264340895.86999995
2019-04-08,1047054.7698913295,-0.004511915853397815,-0.007252001813252147,-0.00297818119794957,0.0002380952380952381,0.20408163265306134,49,2.7755102040816326,434245015.4756
2019-05-07,1051001.4312634438,0.004261180952980124,-0.012761895875540231,-0.017261172066615593,0.0002380952380952381,0.489795918367347,40,2.825,487420424.3656
2019-06-05,1024745.5172084621,-0.024318342657055854,0.03703536962372103,0.06111561704268165,0.0002380952380952381,0.6800000000000002,50,2.92,646901943.5656
2019-07-03,1029515.103722603,0.00517710280718866,-0.007837586579590439,-0.013252784624874336,0.0002380952380952381,0.52,45,3.0444444444444443,642633779.307
2019-08-01,992459.2861017723,-0.035829352564577546,-0.04325684119893539,-0.007665583872453086,0.0002380952380952381,0.1702127659574469,47,3.0,644927912.7091
2019-08-29,1037657.8475812265,0.04604408168415984,0.06058319496180394,0.014301018039548863,0.0002380952380952381,0.48,50,3.22,562113787.8828
2019-09-27,1043333.3503642594,0.005751142301183295,0.026977791560764117,0.020988554021485584,0.0002380952380952381,0.28,50,3.38,684126098.33
2019-10-25,1050987.0962763163,0.007416451898056461,0.03868918336616682,0.031034636230015122,0.0002380952380952381,0.08,50,3.36,724009467.1099998
2019-11-22,1061543.3947694858,0.010610116832343898,0.04892164156480967,0.038073429494370536,0.0002380952380952381,0.56,41,3.4390243902439024,552996613.06
2019-12-23,1030114.6634626077,-0.029275171264758624,0.003650904552041649,0.032687980578705034,0.0002380952380952381,0.3414634146341463,37,3.2432432432432434,348471360.28999996
2020-01-23,1019306.3488957756,-0.01043885144959867,-0.0048953078738376565,0.005305448337665775,0.0002380952380952381,0.05405405405405406,37,3.135135135135135,347674350.73999995
2020-02-21,930896.098099945,-0.08609349651887513,-0.3957227851192204,-0.3098673838384405,0.0002380952380952381,0.7027027027027029,26,3.076923076923077,297450928.1787
2020-03-20,935509.0760852117,0.006364326665783148,0.23732788858396192,0.23072546668008354,0.0002380952380952381,1.4,50,3.24,473985791.1396001
2020-04-20,962828.9480029475,0.02949147179369003,0.07735187085715796,0.04762230382537269,0.0002380952380952381,0.28,50,3.66,461942370.6273
