date,capital,period_return,borrow_cost,benchmark_return,turnover,n_long,n_short,n_eligible,avg_sue_long,avg_sue_short
2016-12-14,1139823.5088308102,0.005589932122297652,0.0007936507936507939,0.01104342056008496,0.49999999999999983,20,20,102,1.6816002031730188,-1.7481420649961354
2017-01-13,1138267.1649920382,-0.0008896584551463929,0.0007936507936507939,0.024880047946336255,0.47619047619047633,21,21,105,1.7124348045390942,-1.6898512353989081
2017-02-13,1164172.9117080187,0.02598345292584739,0.0007936507936507935,0.017587589210919942,3.1428571428571423,15,15,75,2.151330624099166,-1.5832618862203147
2017-03-14,1147939.850038966,-0.010958070959150995,0.0007936507936507935,-0.003456476039690898,3.018867924528302,53,53,268,1.9558084640148738,-1.2766660328481438
2017-04-11,1169081.7412694674,0.018750655844890062,0.0007936507936507937,0.020256464829827098,0.32727272727272727,55,55,278,1.9664903697629683,-1.2443086240708334
2017-05-10,1169532.2548894784,0.002025034146786381,0.0007936507936507935,0.016168988836356753,1.6363636363636362,49,49,248,1.6801549853092423,-1.0812018474974625
2017-06-08,1170802.6265713244,0.003995760749662888,0.0007936507936507939,-0.002009424519910627,2.8979591836734695,21,21,105,1.410431620356248,-0.8859563115424807
2017-07-07,1186248.6280657924,0.014158525702447602,0.0007936507936507934,0.021654874604063158,0.9523809523809524,19,19,98,1.2276226371586443,-1.0440178277874161
2017-08-04,1224622.4783130602,0.035291317019311444,0.0007936507936507935,0.0017365329043635247,2.8421052631578942,15,15,79,1.1763189098965425,-1.7812283219772853
2017-09-01,1194501.7706209477,-0.02313060871519983,0.0007936507936507939,0.022865364909876573,1.5,20,20,103,1.364944845779139,-1.7904181022233214
2017-10-02,1185517.3044914138,-0.007048683672139589,0.0007936507936507939,0.017404643498200683,0.47619047619047633,21,21,108,1.531913355561343,-1.8248947327537846
2017-10-30,1220577.9984565515,0.03232704521133843,0.0007936507936507937,0.023556834234851637,2.666666666666666,12,12,62,2.076710589350053,-0.9787925937190739
2017-11-28,1145824.9647094698,-0.05841922063815082,0.0007936507936507934,0.021885052815425868,3.0,22,22,112,2.446388872099435,-1.0616845953388419
2017-12-27,1112149.7043845537,-0.02862932961562557,0.0007936507936507934,0.06957172524023932,0.7826086956521738,23,23,116,2.3582795818991387,-1.2680776684054178
2018-01-26,1125752.147022541,0.013376321704076601,0.0007936507936507937,-0.030756662033760013,1.1304347826086958,18,18,91,2.391766406633417,-1.6412095667940045
2018-02-26,1128944.0048519517,0.006189275592800897,0.0007936507936507937,-0.0431194696210165,3.333333333333333,42,42,211,1.7865316711296153,-1.690667091538024
2018-03-26,1123517.236070115,-0.003513257837780225,0.0007936507936507937,-0.00806692225415108,1.2982456140350878,57,57,289,1.7118207283160214,-1.606484350954659
2018-04-24,1112169.8528063654,-0.009826723412257838,0.0007936507936507939,0.035964367203521905,0.2758620689655171,58,58,293,1.7192247309189737,-1.5288545322215294
2018-05-22,1105725.4965190825,-0.0027338238574773485,0.0007936507936507937,0.01673018368856735,3.0689655172413794,30,30,152,1.2345113304795954,-1.3775693854032391
2018-06-20,1108848.677984526,0.0049013502063739115,0.0007936507936507939,0.014497334368617134,2.0666666666666664,20,20,104,1.073874248712332,-1.2017038342186603
2018-07-19,1083480.7547083995,-0.0223889087717587,0.0007936507936507934,0.014396068576486277,0.4999999999999998,19,19,95,1.0502649373615722,-1.1577955797153527
2018-08-16,1075659.2143357275,-0.00465945394528184,0.0007936507936507939,0.02372490508704696,2.5714285714285707,21,21,106,1.849786378131689,-1.0924291654718268
2018-09-14,1064826.3505064647,-0.00944055091070585,0.0007936507936507934,-0.04817384397964378,0.6363636363636362,22,22,112,1.848485135138777,-1.1293600299876287
2018-10-12,1058599.01133914,-0.005577014114063036,0.0007936507936507934,0.006537437067893333,0.2727272727272727,22,22,113,1.8600553752843374,-1.2727027974053209
2018-11-09,1025049.4544072816,-0.029840289787551492,0.0007936507936507939,-0.05031596940648973,1.909090909090909,21,21,109,2.1300894908358905,-1.6926948999233662
2018-12-11,1032219.8450979212,0.007696171641100477,0.0007936507936507934,-0.014254243791116361,0.6956521739130433,23,23,117,2.0378778513505753,-1.8066827908448422
2019-01-10,1027255.6383683457,-0.004394417672873252,0.0007936507936507937,0.04379639537794193,0.41666666666666674,24,24,121,2.0286121701337763,-1.7408513152620608
2019-02-08,1020342.651199453,-0.0033242597045772147,0.0007936507936507934,0.029041697638942716,3.4166666666666665,13,13,68,2.0925414520076093,-1.5341436396183628
2019-03-11,1002696.8044990049,-0.014040373307279645,0.0007936507936507937,0.04089218546997225,3.3,60,60,302,2.11529270364468,-1.2129277589143022
2019-04-08,995262.5161857209,-0.007067555099357313,0.0007936507936507933,-0.002982507497687883,0.3492063492063493,63,63,315,2.090844693977751,-1.3184101633132204
2019-05-07,990594.4933373588,-0.0034881014597796323,0.0007936507936507937,-0.0174120624977405,1.2063492063492063,55,55,276,1.9230100343760335,-1.2548969083145194
2019-06-05,978805.8498115373,-0.00862000793899338,0.0007936507936507939,0.059321003160511865,3.309090909090909,21,21,107,1.070367195508101,-1.3736599840860435
2019-07-03,1024679.8334300568,0.04806508480000394,0.0007936507936507934,-0.01334172949011989,1.1428571428571428,19,19,98,0.9504275636755244,-1.088215369094297
2019-08-01,1056320.6313942326,0.03294460559840248,0.0007936507936507934,-0.007694541991527087,2.0,14,14,72,1.5163514700650953,-1.07141780905392
2019-08-29,1027239.8252449577,-0.02513743874755421,0.0007936507936507934,0.014199719836885918,2.4545454545454546,22,22,111,1.6463333242712472,-0.9173824911128481
2019-09-27,1047520.4160951787,0.020275117869817116,0.0007936507936507934,0.020771212625470506,0.5217391304347827,23,23,115,1.652137954108879,-0.9522394387954006
2019-10-25,1065887.1059566196,0.019306197500620573,0.0007936507936507937,0.030562795912827487,1.7391304347826086,16,16,82,1.919169055786794,-1.2425659912588802
2019-11-22,1060212.2500055465,-0.0025129686710141045,0.0007936507936507934,0.03736620772914154,2.8181818181818183,22,22,112,2.2926263712069,-0.8707927792476717
2019-12-23,1075071.3128000752,0.0149455441762264,0.0007936507936507937,0.03216520004614586,0.9166666666666666,24,24,122,2.2806130784610414,-1.044327038149876
2020-01-23,1100512.6449476462,0.02477495849537311,0.0007936507936507939,0.005291324421974889,1.0833333333333335,20,20,104,2.1883718367296727,-1.1628994662565093
2020-02-21,1151388.69520999,0.05004272303670826,0.0007936507936507934,-0.3708714473466676,3.6315789473684212,38,38,190,1.6110961155289862,-1.4986799584770165
2020-03-20,1175987.3116111928,0.02344317146083857,0.0007936507936507937,0.20760383302547297,2.0312499999999996,64,64,323,1.9112397692793426,-1.4082957438335906
2020-04-20,1212303.6259287978,0.031100271092004996,0.0007936507936507937,0.04652357933753068,0.21212121212121207,66,66,333,1.917193531046344,-1.4184686240811037
2020-05-18,1189881.6175774853,-0.015661672248787162,0.0007936507936507937,0.059099718093428455,2.8787878787878785,44,44,222,1.4026565849080088,-1.065676848529196
2020-06-16,1180356.068468826,-0.0067413120868760916,0.0007936507936507937,0.03240133197933633,1.272727272727273,35,35,176,1.1667240143939528,-1.0518074059141906
2020-07-15,1203130.92689722,0.019819383727531465,0.0007936507936507937,0.04730202677370961,0.5142857142857142,34,34,173,1.1798109478879626,-1.1273580808851382
2020-08-12,1179178.652214691,-0.017342458052276903,0.0007936507936507937,-0.010576454134506846,2.6111111111111107,36,36,183,1.6444806906661933,-1.3168827574530142
2020-09-10,1207241.6472575245,0.024481752330942682,0.0007936507936507937,0.03318562271731631,0.6666666666666665,39,39,195,1.6889312627548327,-1.352538847034173
2020-10-08,1228760.2540587492,0.01819011021839296,0.0007936507936507937,0.018616823192347254,0.358974358974359,39,39,196,1.6381678929804713,-1.2858459093302348
2020-11-05,1110845.829928677,-0.09354489432299334,0.0007936507936507934,0.0544787086606757,2.6666666666666665,31,31,156,1.7069892170247463,-1.2681942761554026
2020-12-04,1135677.8361806686,0.02415265472590136,0.0007936507936507937,0.008246947415890972,1.7560975609756098,41,41,205,1.877026470598618,-1.2660214827147573
2021-01-05,1127055.1825099136,-0.0069777893108867685,0.0007936507936507937,0.02793697634911205,0.6190476190476192,42,42,211,1.985144071478702,-1.2332844001507501
2021-02-03,1142256.7034128883,0.016440340258743844,0.0007936507936507937,-0.01357849101329231,2.904761904761904,18,18,93,2.1668654405351524,-1.1701791286434182
2021-03-04,1133651.3484481287,-0.004054473949536205,0.0007936507936507937,0.06480881700807241,3.493333333333333,75,75,379,2.354847247468453,-1.1073967076316484
2021-04-01,1141368.7665879123,0.007091627862076355,0.0007936507936507933,0.04081729325920549,0.2820512820512822,78,78,392,2.361488741743856,-1.1194610628146866
2021-04-30,1117784.058627792,-0.019431533906662808,0.0007936507936507939,0.006544398540963242,1.2564102564102566,77,77,387,2.201318780808526,-1.2680053686019328
2021-05-28,1161208.6532157212,0.04147279300387166,0.0007936507936507934,0.020800547077300124,2.5194805194805197,70,70,351,1.3056080600437916,-1.3946178799100355
