date,capital,period_return
2019-02-27,963066.1058886389,0.0005678909982770319
2019-02-28,963781.644364291,0.000742979605737421
2019-03-01,963352.3805343343,-0.000445395315906675
2019-03-04,963688.9366246355,0.0003493592761088099
2019-03-05,964011.4692705811,0.0003346854297978903
2019-03-06,963558.8744214902,-0.0004694911456118706
2019-03-07,962410.3939555389,-0.0011919151973364497
2019-03-08,961504.4595103159,-0.0009413182265203236
2019-03-11,961385.4560669744,-0.00012376795777118617
2019-03-12,961456.0688166423,7.344894726899047e-05
2019-03-13,962135.8494037634,0.0007070323951022996
2019-03-14,962736.2693162928,0.0006240489977599585
2019-03-15,962719.9657653065,-1.693459725779392e-05
2019-03-18,962755.1868144028,3.658493679247776e-05
2019-03-19,963330.4038561829,0.0005974696887205602
2019-03-20,962468.6459120134,-0.0008945611398954716
2019-03-21,963198.6386381143,0.0007584587084487431
2019-03-22,962159.8683503349,-0.0010784590489538687
2019-03-25,962130.8150771027,-3.019588967264977e-05
2019-03-26,963209.9563259714,0.0011216159299316983
2019-03-27,962655.0630129037,-0.0005760876010711864
2019-03-28,963134.7757328601,0.0004983225439597825
2019-03-29,963397.3267497531,0.00027260049528713787
2019-04-01,963002.9889566284,-0.0004093199993143714
2019-04-02,964704.2268204063,0.0017665966599137723
2019-04-03,964328.3625610335,-0.0003896160594336553
2019-04-04,964807.892689836,0.0004972685108305672
2019-04-05,963991.8941791102,-0.000845762681782067
2019-04-08,963695.7184099641,-0.00030723885847415205
2019-04-09,963482.02995688,-0.00022173851040516182
2019-04-10,963181.5204930719,-0.0003118993966309114
2019-04-11,963524.264950392,0.00035584617232346436
2019-04-12,964176.2660333746,0.0006766836152447886
2019-04-15,963974.1116522893,-0.0002096653778016242
2019-04-16,965654.820864278,0.001743521108785815
2019-04-17,964714.8097004808,-0.0009734442820427154
2019-04-18,965917.1244148992,0.0012462903049987235
2019-04-22,965867.8909015686,-5.0970742816593705e-05
2019-04-23,966663.8621172553,0.0008240994686590354
2019-04-24,966989.3550362325,0.00033671778964018705
2019-04-25,966697.84273397,-0.0003014638173049327
2019-04-26,967561.9183720687,0.0008938425223488932
2019-04-29,967552.6164273738,-9.613797854209115e-06
2019-04-30,967342.1023461414,-0.00021757378116540847
2019-05-01,967057.3404060516,-0.00029437562926196907
2019-05-02,966655.5250735739,-0.00041550310999044114
2019-05-03,966650.3843742955,-5.318026065155427e-06
2019-05-06,966430.3711471542,-0.00022760372384656846
2019-05-07,967222.9724976928,0.0008201329078656513
2019-05-08,968820.7127628715,0.0016518841162889049
2019-05-09,968166.4855833349,-0.0006752819906903215
2019-05-10,970722.8627489086,0.002640431375842741
2019-05-13,971985.6484173738,0.001300871460768112
2019-05-14,970761.4645927354,-0.0012594669752908929
2019-05-15,969648.7174496674,-0.0011462621701149246
2019-05-16,969872.7923946229,0.00023108878599322358
2019-05-17,967502.5367852296,-0.002443882979273131
2019-05-20,966328.9707012344,-0.0012129850200648924
2019-05-21,967452.2155386343,0.0011623834858070837
2019-05-22,967900.6252763587,0.00046349548899902846
2019-05-23,968340.6088390092,0.0004545751404230199
2019-05-24,967311.5614181216,-0.0010626915896065283
2019-05-28,965996.9364482401,-0.0013590501988358689
2019-05-29,966085.8163458451,9.200846736824647e-05
2019-05-30,966519.5862641952,0.00044899729507533474
2019-05-31,963736.6593937038,-0.0028793279619380666
2019-06-03,963678.7767923123,-6.006059936324798e-05
2019-06-04,961831.9967872032,-0.0019163854694987307
2019-06-05,961315.0087779012,-0.0005375034424190584
2019-06-06,962757.1953826117,0.0015002227069605407
2019-06-07,964109.1829131079,0.0014042871213846174
2019-06-10,964212.0635588048,0.00010671057544138496
2019-06-11,962218.5434750572,-0.0020675120744597436
2019-06-12,962052.6967484924,-0.00017235868887505856
2019-06-13,961140.9081254334,-0.0009477533051366943
2019-06-14,961468.6470360382,0.00034098945100985694
2019-06-17,961225.1406859915,-0.0002532649928807809
2019-06-18,961231.7955548925,6.923319646354349e-06
2019-06-19,960889.2259355887,-0.0003563860672191551
2019-06-20,960667.7757918474,-0.00023046375978013695
2019-06-21,960524.9804291814,-0.00014864177425788716
2019-06-24,960552.8318443266,2.899603416130288e-05
2019-06-25,960531.5750223495,-2.21297790942349e-05
2019-06-26,960857.272293703,0.0003390802341358823
2019-06-27,961815.793601861,0.000997568875000432
2019-06-28,962836.1747075967,0.001060890362295184
2019-07-01,961219.8548012892,-0.0016787070830595351
2019-07-02,962093.5692518118,0.0009089642147513189
2019-07-03,961986.3551861389,-0.00011143829363331962
2019-07-05,961986.3551861389,0.0
2019-07-08,961986.3551861389,0.0
2019-07-09,961911.23583861,-7.808774742375888e-05
2019-07-10,961183.601665962,-0.0007564462764731675
2019-07-11,961751.1382286837,0.000590455935513321
2019-07-12,961135.8197066648,-0.0006397897517982432
2019-07-15,963267.6240450762,0.002218005296131702
2019-07-16,963325.0182531595,5.9582826880877524e-05
2019-07-17,963210.8032314631,-0.00011856332964724362
2019-07-18,962656.2747529194,-0.0005757083254083114
2019-07-19,962084.8248751878,-0.0005936177768937173
2019-07-22,963083.6795495523,0.00103821892679164
2019-07-23,964705.4064898988,0.0016838899617787311
2019-07-24,962261.5741126473,-0.002533242128437266
2019-07-25,964395.5055449732,0.0022176209564365753
2019-07-26,963124.5150943854,-0.0013179141164387815
2019-07-29,965852.316859367,0.0028322420644793732
2019-07-30,963602.2159297891,-0.0023296531884857605
2019-07-31,961903.0799160999,-0.00176331683925168
2019-08-01,963057.9261061255,0.0012005847721439779
2019-08-02,963653.4403229859,0.0006183576301252705
2019-08-05,958850.0805141351,-0.004984530338251869
2019-08-06,961224.1715914641,0.0024759773457557104
2019-08-07,959483.7742528312,-0.0018106050493417326
2019-08-08,958442.5457373256,-0.0010851965853372453
2019-08-09,958181.3504829357,-0.0002725205131508072
2019-08-12,958475.4182053779,0.00030690194741741616
2019-08-13,960208.4200702277,0.0018080817013488761
2019-08-14,960977.449173805,0.0008008981045188119
2019-08-15,960877.2629569902,-0.00010425449306952212
2019-08-16,959913.1796572685,-0.001003336572617991
2019-08-19,960231.8900077315,0.0003320199755740735
2019-08-20,959795.8392065573,-0.00045410989336192796
2019-08-21,958882.5801037917,-0.0009515139214612608
2019-08-22,959611.7750080529,0.0007604631884983893
2019-08-23,958792.2211269538,-0.0008540473371037832
2019-08-26,956972.1974372084,-0.0018982461993759816
2019-08-27,956123.6520830675,-0.000886698021544783
2019-08-28,955512.7042835117,-0.0006389840877011173
2019-08-29,955922.4405773019,0.00042881302567022983
2019-08-30,952690.7255106489,-0.003380729366182969
2019-09-03,953024.0467126612,0.0003498734616459126
2019-09-04,954397.7113490828,0.001441374581428314
2019-09-05,953811.1917338482,-0.0006145442390107371
2019-09-06,953345.3581477372,-0.0004883918223524261
2019-09-09,957570.6940063206,0.004432114576812708
2019-09-10,958216.8970469603,0.0006748358577436202
2019-09-11,957331.3071276934,-0.0009242061186732931
2019-09-12,958037.213709324,0.0007373691598454883
2019-09-13,957191.6536199888,-0.000882596288782337
2019-09-16,956781.0272378455,-0.00042899076751291783
2019-09-17,956669.4447309066,-0.00011662282566459535
2019-09-18,955567.5701375713,-0.0011517819445412616
2019-09-19,954753.9627457001,-0.0008514388906628028
2019-09-20,955530.1651873334,0.000812986876117288
