date,capital,period_return,borrow_cost,turnover,ic,n_long,n_short,ret_value,ret_momentum,ret_quality,ret_low_vol,ret_size
2017-02-02,1014073.4914451585,-0.01296390767777526,0.0024999999999999996,0.6326530612244898,-0.016984531787680394,98,98,-0.018067382967907216,-0.017393507395720074,0.029679947922595908,0.008668928841071073,0.006189002552581518
2017-03-06,1026618.8659649715,0.013643493608690986,0.0024999999999999996,0.836734693877551,0.09824355555231201,98,98,0.019499118400541093,0.010562649520902573,0.0005186442855508412,0.025099039732089698,0.024931483722554323
2017-04-04,1052232.8222372364,0.02564055786712008,0.0024999999999999996,0.44897959183673464,0.14110808305283762,98,98,0.02671274657733959,0.007231517608910551,0.031206894559095547,0.015066968289487469,0.0079518506388881
2017-05-04,1051241.344094597,-9.385596871054874e-05,0.0024999999999999996,0.5656565656565654,-0.008775048572866989,99,99,-0.01660000469109023,0.023183356704001408,-0.004237628675822256,0.02297082850829844,-0.0020594457786696843
2017-06-05,1028381.1213297743,-0.02082610195606572,0.0024999999999999996,0.6262626262626263,-0.03667907658047038,99,99,-0.006869479545746502,-0.02845638623099301,-0.01878742996242988,-0.03933081447547245,0.0369820839203327
2017-07-05,1035283.8479963597,0.007475465150253018,0.0024999999999999996,0.5050505050505051,0.02134816490745542,99,99,-0.0013552095508182747,0.02455508928075329,-0.028865840241751824,0.00854409386357609,0.004655424515276941
2017-08-03,1014004.607285534,-0.01984117315363611,0.0024999999999999996,0.4848484848484849,0.015522808393367525,99,99,-0.047183509091940544,0.013635043597317292,-0.0191795863829994,-0.05052187919162658,0.03962360709609076
2017-09-01,1022091.9072965911,0.008739801617403547,0.0024999999999999996,0.5050505050505051,0.0874857205371157,99,99,0.01614201491337315,0.01441027598923536,-0.014345028586899893,-0.02645433796663985,0.035563957900893395
2017-10-03,1030404.8664003388,0.008647689769944285,0.0024999999999999996,0.34000000000000014,0.039515774063096254,100,100,-0.0050453054477153595,0.029288803910460293,-0.03966019600645482,0.025702713098583678,0.005842755756669749
2017-11-01,1001685.2773801923,-0.027142497190394226,0.0024999999999999996,0.5,-0.06102721557205808,100,100,-0.059763556833952805,-0.06742574534171426,0.07321622473915801,-0.07124297077969252,0.07964362201887662
